company,duration,response_date,year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,experience_dip,occupation,id_last_four,last_name_initial,ie_ambiguity_tolerance_u,ie_ambiguity_tolerance_v,ie_ambiguity_tolerance_w,ie_ambiguity_tolerance_x,ie_ambiguity_tolerance_y,ie_ambiguity_tolerance_z,ie_ambiguity_tolerance_aa,ie_ambiguity_tolerance_ab,ie_ambiguity_tolerance_ac,ie_ambiguity_tolerance_ad,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,fake_news_al,fake_news_am,fake_news_an,fake_news_ao,fake_news_ap,fake_news_aq,fake_news_ar,fake_news_as,fake_news_at,fake_news_au,fake_news_av,fake_news_aw,fake_news_ax,fake_news_ay,fake_news_az,fake_news_ba,fake_news_bb,fake_news_bc,tweet_e_lack_of_information,tweet_e_report,tweet_f_lack_of_information,tweet_f_report,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,complete
SIPopsy,,2022-07-08,1995,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Trabajador independiente,3665,H,5,5,4,4,5,5,5,5,4,5,4,3,3,1,1,1,1,1,1,"Timidez,Orgullo,Arrepentimiento,Extroversión,Sorpresa,Tensión","Compasión,Trabajo,Tensión,Agitación,Inquietud,Orgullo","Nostalgia,Compasión,Amistad,Inquietud,Orgullo,Trabajo",5,1,5,1,1,1,1,1,5,1,1,1,2,5,5,2,5,1,1,1,1,1,4,4,5,5,4,5,true
SIPopsy,,2022-07-08,1985,Mujer,Bachillerato,Estrato 2,Colombia,Guaviare,El Retorno,No,Empleado de otra compañía o institución,8323,H,4,4,5,5,3,5,5,2,4,5,4,5,5,1,1,3,5,5,4,"Timidez,Imprudencia,Cordialidad,Orgullo,Agitación,Nostalgia","Amistad,Nostalgia,Extroversión,Cordialidad,Inquietud,Timidez","Orgullo,Dedicación,Arrepentimiento,Inquietud,Compasión,Cordialidad",4,3,2,3,2,2,4,4,5,4,3,5,3,4,4,3,4,3,1,1,1,1,3,3,5,4,4,4,true
SIPopsy,,2022-07-08,1993,Hombre,Técnico / Tecnológico,Estrato 2,Angola,Bogotá D.C.,Bogotá D.C.,No,Trabajador independiente,2335,G,4,4,3,4,4,4,4,4,4,4,4,3,4,0,1,3,3,4,3,"Vergüenza,Disciplina,Dedicación,Compasión,Emoción,Amistad","Sorpresa,Nostalgia,Disciplina,Impresión,Timidez,Compasión","Arrepentimiento,Inquietud,Aburrición,Educación,Sorpresa,Impresión",4,3,3,3,4,3,3,3,3,2,3,3,3,4,4,4,3,4,1,1,1,1,4,4,4,4,4,4,true
SIPopsy,,2022-07-08,1992,Mujer,Técnico / Tecnológico,Estrato 1,Venezuela,Bogotá D.C.,Bogotá D.C.,No,Desempleado,1453,V,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,"Sospecha,Vergüenza,Inquietud,Nostalgia,Dedicación,Orgullo","Compasión,Orgullo,Sospecha,Arrepentimiento,Timidez,Amistad","Cordialidad,Extroversión,Orgullo,Aburrición,Inquietud,Timidez",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,1995,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,No,Desempleado,2147,D,3,3,2,3,3,3,3,3,3,3,2,2,2,0,0,2,2,2,2,"Inquietud,Sorpresa,Vergüenza,Trabajo,Agitación,Dedicación","Trabajo,Disciplina,Timidez,Educación,Vergüenza,Nostalgia","Agitación,Nostalgia,Sospecha,Amistad,Trabajo,Extroversión",1,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,0,0,0,0,3,2,3,3,3,3,true
SIPopsy,,2022-07-08,1998,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Empleado de otra compañía o institución,3060,G,5,2,2,3,2,4,2,3,2,2,1,3,1,0,0,1,2,1,5,"Compasión,Trabajo,Aburrición,Disciplina,Amistad,Sospecha","Extroversión,Inquietud,Orgullo,Educación,Sorpresa,Tensión","Imprudencia,Sorpresa,Trabajo,Agitación,Educación,Impresión",2,3,3,3,2,4,2,3,2,4,4,2,3,4,4,4,4,3,1,0,1,1,1,4,4,2,3,1,true
SIPopsy,,2022-07-08,1997,Hombre,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,No,Empleado de Popsy,9636,T,3,5,5,4,4,4,4,4,4,3,4,4,4,1,1,2,1,2,1,"Tensión,Extroversión,Agitación,Aburrición,Vergüenza,Imprudencia","Imprudencia,Nostalgia,Trabajo,Disciplina,Impresión,Dedicación","Aburrición,Disciplina,Impresión,Sorpresa,Orgullo,Compasión",5,1,1,1,1,1,1,1,5,5,1,2,2,5,5,1,5,1,1,1,1,1,1,2,2,2,2,2,true
SIPopsy,,2022-07-08,1996,Hombre,Bachillerato,Estrato 2,Colombia,Córdoba,Montería,No,Desempleado,3194,J,3,3,3,3,3,2,3,3,3,3,1,4,4,0,1,3,2,4,4,"Agitación,Aburrición,Emoción,Vergüenza,Dedicación,Cordialidad","Agitación,Amistad,Trabajo,Disciplina,Cordialidad,Compasión","Timidez,Educación,Agitación,Inquietud,Dedicación,Sorpresa",5,2,1,2,4,5,5,5,5,5,3,4,5,5,5,2,2,2,1,0,1,0,4,4,4,4,4,4,true
SIPopsy,,2022-07-08,1985,Hombre,Primaria,Estrato 4,Colombia,Atlántico,Suan,No,Desempleado,2673,U,4,4,3,4,5,4,3,4,3,3,4,5,3,1,1,3,4,3,3,"Extroversión,Emoción,Inquietud,Cordialidad,Agitación,Sorpresa","Compasión,Impresión,Emoción,Vergüenza,Cordialidad,Educación","Educación,Nostalgia,Cordialidad,Tensión,Compasión,Dedicación",2,4,5,3,4,1,3,3,3,5,4,2,2,2,3,5,5,3,1,1,1,1,2,3,4,3,4,1,true
SIPopsy,,2022-07-08,1988,Mujer,Posgrado,Rural,Antigua y Barbuda,Bogotá D.C.,Bogotá D.C.,No,Empleado de otra compañía o institución,3583,Y,2,2,2,1,2,2,2,2,1,2,3,2,2,1,0,2,4,4,1,"Dedicación,Disciplina,Timidez,Educación,Vergüenza,Arrepentimiento","Agitación,Emoción,Vergüenza,Extroversión,Cordialidad,Aburrición","Orgullo,Educación,Vergüenza,Extroversión,Arrepentimiento,Tensión",1,3,3,2,3,2,3,2,3,1,2,1,2,2,1,3,1,5,0,0,0,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIPopsy,,2022-07-08,1994,Hombre,Posgrado,Rural,Anguilla,Bogotá D.C.,Bogotá D.C ,No,Labores del hogar,4347,¥,3,2,2,1,2,1,2,3,2,2,1,3,1,0,0,1,1,3,1,"Sorpresa,Vergüenza,Sospecha,Agitación,Amistad,Arrepentimiento","Disciplina,Imprudencia,Tensión,Sospecha,Educación,Vergüenza","Agitación,Tensión,Aburrición,Imprudencia,Timidez,Extroversión",4,2,4,2,2,2,1,1,4,2,2,1,1,1,2,4,2,1,0,1,1,0,2,4,1,1,1,2,true
SIPopsy,,2022-07-08,1995,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Labores del hogar,8851,V,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,"Vergüenza,Agitación,Sospecha,Impresión,Disciplina,Trabajo","Sorpresa,Emoción,Impresión,Sospecha,Trabajo,Agitación","Timidez,Educación,Dedicación,Arrepentimiento,Aburrición,Orgullo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,true
SIPopsy,,2022-07-08,1990,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,Sí,Trabajador independiente,3280,B,3,3,3,3,3,3,3,3,3,3,3,3,2,0,1,2,3,3,3,"Sospecha,Educación,Tensión,Sorpresa,Arrepentimiento,Impresión","Aburrición,Disciplina,Sorpresa,Orgullo,Trabajo,Compasión","Disciplina,Extroversión,Dedicación,Trabajo,Emoción,Orgullo",2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,4,2,3,4,4,3,true
SIPopsy,,2022-07-08,1993,Hombre,Bachillerato,Estrato 2,Colombia,Antioquia,Medellín,No,Desempleado,5542,J,2,2,2,2,3,2,5,4,4,3,1,1,1,0,1,1,1,1,1,"Emoción,Extroversión,Cordialidad,Agitación,Arrepentimiento,Imprudencia","Tensión,Vergüenza,Sospecha,Dedicación,Sorpresa,Educación","Nostalgia,Arrepentimiento,Emoción,Amistad,Vergüenza,Agitación",5,3,2,1,1,1,1,1,4,5,1,1,1,5,5,5,5,3,1,1,1,1,2,2,2,2,1,2,true
SIPopsy,,2022-07-08,1992,Hombre,Técnico / Tecnológico,Estrato 1,Angola,Bogotá D.C.,Bogotá D.C.,No,Trabajador independiente,2800,R,4,2,3,3,4,3,4,4,2,3,3,3,3,0,0,3,1,2,1,"Cordialidad,Inquietud,Agitación,Educación,Imprudencia,Dedicación","Extroversión,Orgullo,Imprudencia,Tensión,Impresión,Cordialidad","Amistad,Arrepentimiento,Dedicación,Vergüenza,Orgullo,Aburrición",2,2,2,3,2,3,3,2,2,3,2,3,2,2,2,3,2,2,0,0,0,1,4,4,3,4,4,4,true
SIPopsy,,2022-07-08,1992,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Labores del hogar,821,V,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,"Amistad,Emoción,Educación,Imprudencia,Trabajo,Nostalgia","Sorpresa,Sospecha,Timidez,Inquietud,Cordialidad,Aburrición","Aburrición,Compasión,Timidez,Orgullo,Arrepentimiento,Extroversión",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,1968,Mujer,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,No,Labores del hogar,3607,C,1,1,1,2,2,1,3,1,3,2,1,1,2,1,1,1,1,1,4,"Orgullo,Impresión,Compasión,Emoción,Trabajo,Dedicación","Imprudencia,Orgullo,Compasión,Aburrición,Tensión,Dedicación","Cordialidad,Orgullo,Disciplina,Imprudencia,Agitación,Arrepentimiento",2,3,2,2,3,2,4,1,2,3,5,1,2,1,2,2,2,2,0,1,0,0,2,1,2,1,1,1,true
SIPopsy,,2022-07-08,1977,Hombre,Bachillerato,Estrato 3,Colombia,Magdalena,Aracataca,No,Empleado de otra compañía o institución,7211,P,2,3,3,1,4,4,1,4,3,4,1,1,1,0,0,1,1,1,1,"Nostalgia,Cordialidad,Arrepentimiento,Tensión,Dedicación,Extroversión","Vergüenza,Timidez,Dedicación,Impresión,Agitación,Cordialidad","Educación,Timidez,Amistad,Inquietud,Trabajo,Cordialidad",2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,0,0,1,1,2,1,1,1,true
SIPopsy,,2022-07-08,1995,Mujer,Técnico / Tecnológico,Estrato 4,Anguilla,Cundinamarca,BogotaD.C.,No,Desempleado,1275,✓,2,2,1,2,2,2,2,2,3,2,2,3,2,0,1,1,2,2,4,"Tensión,Nostalgia,Extroversión,Impresión,Sospecha,Sorpresa","Sorpresa,Emoción,Extroversión,Compasión,Orgullo,Timidez","Orgullo,Timidez,Dedicación,Arrepentimiento,Compasión,Sorpresa",3,1,1,3,2,1,1,1,1,1,2,1,2,4,1,2,1,2,0,0,0,0,2,3,5,2,2,2,true
SIPopsy,,2022-07-08,1980,Mujer,Posgrado,Estrato 5,Colombia,Bogotá D.C.,Bogotá D.C.,No,Empleado de Popsy,2580,P,5,5,5,5,5,5,4,5,5,5,5,5,5,1,0,5,5,5,5,"Agitación,Arrepentimiento,Aburrición,Emoción,Nostalgia,Amistad","Aburrición,Extroversión,Dedicación,Trabajo,Timidez,Amistad","Compasión,Disciplina,Inquietud,Imprudencia,Emoción,Nostalgia",5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,true
SIPopsy,,2022-07-08,1994,Mujer,Título universitario,Estrato 4,Anguilla,Bogotá D.C.,Bogotá D.C.,Sí,Desempleado,2417,R,4,4,3,4,3,4,3,5,3,2,3,3,3,1,1,3,3,3,3,"Cordialidad,Amistad,Compasión,Educación,Dedicación,Agitación","Impresión,Compasión,Agitación,Trabajo,Sorpresa,Tensión","Arrepentimiento,Compasión,Impresión,Sospecha,Amistad,Disciplina",2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,0,0,0,0,2,1,3,3,2,3,true
SIPopsy,,2022-07-08,1989,Mujer,Bachillerato,Estrato 1,Colombia,Cundinamarca,Cajicá,No,Desempleado,3214,H,4,4,4,4,5,1,3,4,3,4,3,2,4,1,1,4,2,4,4,"Extroversión,Cordialidad,Vergüenza,Disciplina,Educación,Imprudencia","Compasión,Amistad,Orgullo,Sospecha,Inquietud,Vergüenza","Vergüenza,Educación,Nostalgia,Tensión,Compasión,Aburrición",4,3,3,5,4,3,3,4,4,4,1,4,5,1,5,2,2,4,1,1,0,0,2,4,4,4,4,2,true
SIPopsy,,2022-07-08,1992,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Estudiante,852,V,1,1,2,2,1,1,2,1,1,1,2,2,2,0,0,1,1,2,1,"Agitación,Arrepentimiento,Nostalgia,Orgullo,Imprudencia,Educación","Extroversión,Trabajo,Educación,Tensión,Sorpresa,Agitación","Timidez,Nostalgia,Arrepentimiento,Orgullo,Sospecha,Impresión",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,true
SIPopsy,,2022-07-08,1991,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Trabajador independiente,6784,A,5,2,3,2,1,4,1,1,1,4,2,3,3,0,0,2,2,2,1,"Nostalgia,Orgullo,Arrepentimiento,Inquietud,Amistad,Vergüenza","Extroversión,Sorpresa,Emoción,Impresión,Educación,Timidez","Inquietud,Cordialidad,Disciplina,Compasión,Arrepentimiento,Educación",2,4,1,4,3,3,3,4,3,3,3,2,3,2,2,4,2,1,0,0,0,0,2,3,3,2,1,1,true
SIPopsy,,2022-07-08,1985,Hombre,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,No,Desempleado,345,S,4,4,4,4,4,4,5,5,5,5,4,3,3,1,1,2,2,1,2,"Compasión,Educación,Aburrición,Vergüenza,Arrepentimiento,Tensión","Disciplina,Tensión,Impresión,Dedicación,Arrepentimiento,Emoción","Inquietud,Educación,Emoción,Vergüenza,Extroversión,Sorpresa",5,2,1,1,1,5,1,1,5,5,1,2,2,5,5,5,5,2,1,1,1,1,4,3,3,4,5,1,true
SIPopsy,,2022-07-08,1993,Hombre,Técnico / Tecnológico,Estrato 1,Anguilla,Bogotá D.C.,Bogotá D.C.,Sí,Desempleado,2863,Y,3,4,3,3,4,3,3,4,3,4,2,3,3,1,0,2,2,2,2,"Tensión,Inquietud,Disciplina,Nostalgia,Timidez,Imprudencia","Impresión,Agitación,Tensión,Educación,Trabajo,Sorpresa","Amistad,Sorpresa,Compasión,Agitación,Impresión,Arrepentimiento",3,3,2,3,3,3,3,2,3,2,2,3,3,2,2,3,2,3,0,0,1,1,3,3,3,4,3,4,true
SIPopsy,,2022-07-08,1999,Hombre,Técnico / Tecnológico,Estrato 4,Anguilla,Bogotá D.C.,Bogotá D.C.,No,Desempleado,1544,°,1,1,2,2,1,2,2,1,2,1,1,1,1,0,0,1,1,2,1,"Extroversión,Vergüenza,Emoción,Compasión,Agitación,Impresión","Sospecha,Imprudencia,Vergüenza,Impresión,Sorpresa,Tensión","Arrepentimiento,Vergüenza,Educación,Extroversión,Compasión,Timidez",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,4,1,2,1,true
SIPopsy,,2022-07-08,1985,Mujer,Bachillerato,Estrato 2,Colombia,Tolima,Ibagué,No,Empleado de otra compañía o institución,8951,A,5,4,3,3,5,5,2,5,4,3,3,5,3,1,1,4,3,3,3,"Amistad,Agitación,Emoción,Educación,Extroversión,Imprudencia","Agitación,Arrepentimiento,Cordialidad,Compasión,Sospecha,Vergüenza","Trabajo,Tensión,Vergüenza,Inquietud,Emoción,Impresión",5,1,5,5,3,5,5,5,5,3,4,3,5,5,5,1,5,5,0,1,0,0,4,3,3,4,3,3,true
SIPopsy,,2022-07-08,1995,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Labores del hogar,5584,V,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,"Extroversión,Timidez,Orgullo,Compasión,Disciplina,Arrepentimiento","Educación,Sorpresa,Impresión,Emoción,Compasión,Imprudencia","Aburrición,Disciplina,Orgullo,Nostalgia,Timidez,Cordialidad",3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,1990,Mujer,Bachillerato,Estrato 1,Colombia,Guainía,La Guadalupe,No,Desempleado,3625,G,3,4,3,4,2,3,4,3,3,4,5,3,2,1,0,3,4,1,3,"Orgullo,Nostalgia,Sorpresa,Disciplina,Timidez,Extroversión","Imprudencia,Aburrición,Dedicación,Cordialidad,Arrepentimiento,Agitación","Orgullo,Emoción,Tensión,Timidez,Arrepentimiento,Imprudencia",3,4,5,3,4,2,4,2,3,3,3,1,3,4,2,4,4,3,1,1,1,0,3,3,4,4,4,3,true
SIPopsy,,2022-07-08,1999,Mujer,Bachillerato,Estrato 2,Colombia,Cundinamarca,Funza,No,Labores del hogar,1225,C,5,5,5,4,4,4,5,4,4,5,3,3,3,1,1,1,1,1,1,"Timidez,Agitación,Dedicación,Cordialidad,Disciplina,Amistad","Orgullo,Extroversión,Timidez,Amistad,Nostalgia,Tensión","Impresión,Educación,Sorpresa,Arrepentimiento,Aburrición,Compasión",5,2,5,1,1,3,5,1,5,5,1,2,3,5,5,5,5,2,1,1,1,1,4,5,4,5,4,4,true
SIPopsy,,2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIPopsy,,2022-07-08,1993,Mujer,Bachillerato,Estrato 2,Antigua y Barbuda,Bogotá D.C.,Bogotá D.C.,No,Empleado de otra compañía o institución,2536,G,5,3,5,4,4,5,4,4,5,5,5,5,5,1,1,5,4,5,5,"Extroversión,Nostalgia,Inquietud,Cordialidad,Disciplina,Imprudencia","Trabajo,Compasión,Impresión,Arrepentimiento,Extroversión,Sospecha","Vergüenza,Aburrición,Arrepentimiento,Imprudencia,Amistad,Impresión",4,3,4,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,1,1,1,1,4,4,4,4,4,4,true
SIPopsy,,2022-07-08,1998,Mujer,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,No,Estudiante,8102,B,1,2,2,1,1,1,1,2,2,1,5,4,2,0,0,2,2,1,1,"Imprudencia,Trabajo,Inquietud,Aburrición,Sorpresa,Timidez","Sorpresa,Educación,Orgullo,Extroversión,Nostalgia,Aburrición","Inquietud,Arrepentimiento,Nostalgia,Agitación,Timidez,Disciplina",2,2,1,3,3,4,2,2,4,4,4,2,1,2,1,2,1,2,0,0,0,0,1,1,2,1,4,1,true
SIPopsy,,2022-07-08,1994,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,No,Estudiante,5241,V,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,"Emoción,Extroversión,Agitación,Disciplina,Vergüenza,Trabajo","Cordialidad,Extroversión,Dedicación,Tensión,Sospecha,Emoción","Impresión,Compasión,Emoción,Aburrición,Imprudencia,Trabajo",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,1998,Hombre,Técnico / Tecnológico,Estrato 4,Antártida,Bogotá D.C.,Bogotá D.C.,No,Empleado de Popsy,5488,Ć,2,3,2,2,2,3,2,2,2,2,1,1,2,0,0,1,2,1,2,"Dedicación,Extroversión,Aburrición,Nostalgia,Disciplina,Sorpresa","Arrepentimiento,Dedicación,Impresión,Imprudencia,Sorpresa,Orgullo","Arrepentimiento,Cordialidad,Extroversión,Timidez,Nostalgia,Sorpresa",1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,true
SIPopsy,,2022-07-08,1999,Hombre,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,No,Empleado de otra compañía o institución,7916,M,1,1,1,2,1,2,1,1,1,1,1,2,3,0,0,1,3,1,1,"Orgullo,Educación,Disciplina,Timidez,Compasión,Imprudencia","Agitación,Impresión,Trabajo,Arrepentimiento,Aburrición,Educación","Arrepentimiento,Cordialidad,Compasión,Trabajo,Timidez,Sospecha",2,2,2,1,2,1,5,3,3,1,2,3,2,1,4,1,2,3,0,0,0,0,1,2,3,1,2,3,true
SIPopsy,,2022-07-08,1990,Mujer,Técnico / Tecnológico,Estrato 2,Angola,Bogotá D.C.,Bogotá D.C.,No,Labores del hogar,3269,J,4,4,4,4,4,4,4,5,4,4,3,4,4,1,1,5,4,5,4,"Sospecha,Sorpresa,Tensión,Orgullo,Trabajo,Cordialidad","Educación,Extroversión,Compasión,Orgullo,Impresión,Timidez","Aburrición,Trabajo,Agitación,Sospecha,Impresión,Imprudencia",4,4,4,5,5,4,4,5,4,4,4,4,4,4,5,4,5,4,1,1,1,1,4,4,4,4,4,4,true
SIPopsy,,2022-07-08,1990,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Labores del hogar,874,C,4,5,4,4,4,5,5,4,4,4,4,4,5,1,1,2,4,2,3,"Inquietud,Imprudencia,Sorpresa,Arrepentimiento,Orgullo,Cordialidad","Vergüenza,Impresión,Agitación,Compasión,Tensión,Amistad","Impresión,Inquietud,Vergüenza,Sospecha,Aburrición,Nostalgia",5,1,1,1,1,1,1,2,5,1,4,5,1,5,5,1,5,1,1,1,1,1,1,2,1,2,2,2,true
SIPopsy,,2022-07-08,1993,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Estudiante,5236,L,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,"Impresión,Arrepentimiento,Amistad,Trabajo,Aburrición,Agitación","Amistad,Cordialidad,Timidez,Arrepentimiento,Emoción,Tensión","Agitación,Trabajo,Extroversión,Disciplina,Impresión,Dedicación",2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,2000,Mujer,Bachillerato,Estrato 2,Anguilla,Bogotá D.C.,Bogotá D.C.,No,Empleado de Popsy,1544,H,2,2,2,2,2,2,3,5,2,2,4,4,2,1,1,3,1,1,3,"Extroversión,Agitación,Sospecha,Timidez,Vergüenza,Amistad","Timidez,Sorpresa,Dedicación,Cordialidad,Agitación,Orgullo","Dedicación,Imprudencia,Vergüenza,Amistad,Disciplina,Emoción",1,1,1,2,1,1,1,2,1,1,1,1,2,2,5,2,2,1,0,0,0,0,2,5,4,3,1,4,true
